アイデア,アイデア,  idea ,Noun
アクセント,アクセント,  accent  ,Noun
アンテナ,アンテナ,  antenna ,Noun
イコール,イコール,  equal ,Naadjective
いつの間にか,いつのまにか,  before one knows; before one becomes aware of; unnoticed,Adverb
インタビュー,インタビュー,  interview  ,Noun
ウーマン,ウーマン,  woman  ,Noun
ウール,ウール,  wool  ,Noun
ウェイトレス,ウェイトレス,  waitress ,Noun
うっかり,うっかり,  carelessly; thoughtlessly; inadvertently  ,Adverb
うろうろ,うろうろ,  loiteringly; aimless wandering; restlessly  ,Adverb
うんと,うんと,  a great deal; very much; a lot  ,Adverb
エチケット,エチケット,  etiquetteエチケット: gai1; ichi,Noun
エプロン,エプロン,  apron  エプロン: gai,Noun
オーケストラ,オーケストラ,  orchestra  オーケストラ: gai1; ichi,Noun
オートメーション,オートメーション,  automation  オートメーション: gai1; ichi,Noun
オーバコート,オーバコート,  overcoat ,Noun
オイル,オイル,  oil; engine oil; kerosene,Noun
オルガン,オルガン,  organ  ,Noun
お代わり,おかわり,  second helping; another cup; seconds  ,Noun
お先に,おさきに,  before; previously ,Adverb
おやつ,おやつ,  between-meal snack  ,Noun
お出掛け,おでかけ,  about to start out; just about to leave or go out ; Polite ,Noun
お参り,おまいり,  worship; shrine visit ,Noun
お大事に,おだいじに,  take care of yourself; get well soon; God bless you,Expression
お帰り,おかえり,  return  ,Noun
お待たせしました,おまたせしました,  Thank you for waiting; Have I kept you waiting?,Expression
お待ち遠様,おまちどおさま,  I'm sorry to have kept you waiting ,Expression
お手伝いさん,おてつだいさん,  maid,Noun
おかけください,おかけください,  please sit down; please have a seat  ,Expression
おはよう,おはよう, good morning  ,
お気の毒に,おきのどくに,  my sympathies; that's too bad; my condolences,Expression
おしゃれ,おしゃれ,  smartly dressed; stylish; fashion-conscious,Naadjective
おめでたい,おめでたい,  special; auspicious; happy ,Noun
おかず,おかず,  side dish; okazu; side dish  accompanying the rice in a typical Japanese meal  ,Noun
お辞儀,おじぎ,  bow; bowing ; ,Noun
