交換<div class="hint">exchange; bartering</div>,こうかん,exchange; bartering,<ruby>試合<rt>しあい</rt></ruby>の <ruby>相手<rt>あいて</rt></ruby>とユニフォームを <ruby>交換<rt>こうかん</rt></ruby>したよ。,We exchanged uniforms with the opposing team at the match.,verbal noun
わさび<div class="hint">Japanese horseradish</div>,わさび,Japanese horseradish,<ruby>刺身<rt>さしみ</rt></ruby>にわさびは <ruby>欠<rt>か</rt></ruby>かせませんね。,Wasabi is indispensable to sashimi.,noun
頑張る<div class="hint">work hard; do one's best</div>,がんばる,work hard; do one's best,<ruby>明日<rt>あした</rt></ruby>の <ruby>試験<rt>しけん</rt></ruby>、 <ruby>頑張<rt>がんば</rt></ruby>ってね。,Good luck on tomorrow's exam.,verb
この頃<div class="hint">these days; recently</div>,このごろ,these days; recently,この <ruby>頃<rt>ごろ</rt></ruby>、よく <ruby>肩<rt>かた</rt></ruby>が <ruby>凝<rt>こ</rt></ruby>る。,These days I often get stiff shoulders.,noun
いつ頃<div class="hint">about when; about what time</div>,いつごろ,about when; about what time,いつ <ruby>頃<rt>ごろ</rt></ruby> <ruby>夏休<rt>なつやす</rt></ruby>みを <ruby>取<rt>と</rt></ruby>りますか。,When are you going to take a summer vacation?,interrogative
駄目<div class="hint">no good</div>,だめ,no good,<ruby>彼<rt>かれ</rt></ruby>は <ruby>駄目<rt>だめ</rt></ruby>な <ruby>男<rt>おとこ</rt></ruby>だ。,He's a loser.,adjectival noun
帽子<div class="hint">hat; cap</div>,ぼうし,hat; cap,<ruby>暑<rt>あつ</rt></ruby>いので <ruby>帽子<rt>ぼうし</rt></ruby>を <ruby>被<rt>かぶ</rt></ruby>りましょう。,You should wear a hat because it's hot.,noun
ジョギング<div class="hint">jogging</div>,じょぎんぐ,jogging,<ruby>私<rt>わたし</rt></ruby>は <ruby>毎日<rt>まいにち</rt></ruby>ジョギングをしています。,I jog every day.,verbal noun
励ます<div class="hint">encourage; cheer up</div>,はげます,encourage; cheer up,<ruby>父<rt>ちち</rt></ruby>が <ruby>息子<rt>むすこ</rt></ruby>を <ruby>励<rt>はげ</rt></ruby>ましたの。,The father encouraged his son.,verb
零<div class="hint">zero</div>,れい,zero,<ruby>今<rt>いま</rt></ruby>ちょうど <ruby>零<rt>れい</rt></ruby> <ruby>時<rt>じ</rt></ruby>です。,It's exactly midnight now.,noun
仕舞う<div class="hint">put away; put in</div>,しまう,put away; put in,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>大切<rt>たいせつ</rt></ruby>な <ruby>書類<rt>しょるい</rt></ruby>を <ruby>机<rt>つくえ</rt></ruby>に <ruby>仕舞<rt>しま</rt></ruby>った。,She put the important documents in her desk.,verb
踊る<div class="hint">dance</div>,おどる,dance,<ruby>彼女<rt>かのじょ</rt></ruby>はクラブで <ruby>踊<rt>おど</rt></ruby>るのが <ruby>好<rt>す</rt></ruby>きです。,She likes to dance at a club.,verb
文章<div class="hint">sentence; writing</div>,ぶんしょう,sentence; writing,<ruby>彼<rt>かれ</rt></ruby>は <ruby>文章<rt>ぶんしょう</rt></ruby>がとてもうまい。,His writing is very good.,noun
セルフサービス<div class="hint">self-service</div>,せるふさーびす,self-service,この <ruby>食堂<rt>しょくどう</rt></ruby>はセルフサービスです。,This dining hall is self-service.,noun
大丈夫<div class="hint">all right; OK</div>,だいじょうぶ,all right; OK,<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>ですか。,Are you OK?,adjectival noun
丈夫<div class="hint">healthy; sturdy</div>,じょうぶ,healthy; sturdy,<ruby>祖母<rt>そぼ</rt></ruby>は <ruby>体<rt>からだ</rt></ruby>が <ruby>丈夫<rt>じょうぶ</rt></ruby>だ。,My grandmother is physically strong.,adjectival noun
お祖父さん<div class="hint">grandfather</div>,おじいさん,grandfather,<ruby>私<rt>わたし</rt></ruby>のお <ruby>祖父<rt>じい</rt></ruby>さんは <ruby>毎日<rt>まいにち</rt></ruby> <ruby>散歩<rt>さんぽ</rt></ruby>します。,My grandfather takes a walk every day.,noun
お祖母さん<div class="hint">grandmother</div>,おばあさん,grandmother,<ruby>彼女<rt>かのじょ</rt></ruby>はお <ruby>祖母<rt>ばあ</rt></ruby>さんと <ruby>住<rt>す</rt></ruby>んでいる。,She lives with her grandmother.,noun
くしゃくしゃ<div class="hint">messy; crumpled</div>,くしゃくしゃ,messy; crumpled,<ruby>紙<rt>かみ</rt></ruby>をくしゃくしゃに <ruby>丸<rt>まる</rt></ruby>めました。,I crumpled the paper into a ball.,adverb
祖父<div class="hint">grandfather</div>,そふ,grandfather,<ruby>祖父<rt>そふ</rt></ruby>は <ruby>元気<rt>げんき</rt></ruby>です。,My grandfather is well.,noun
祖母<div class="hint">grandmother</div>,そぼ,grandmother,<ruby>祖母<rt>そぼ</rt></ruby>は <ruby>京都<rt>きょうと</rt></ruby>で <ruby>生<rt>う</rt></ruby>まれました。,My grandmother was born in Kyoto.,noun
風邪<div class="hint">cold (illness)</div>,かぜ,cold (illness),<ruby>私<rt>わたし</rt></ruby>は <ruby>風邪<rt>かぜ</rt></ruby>をひきました。,I caught a cold.,noun
風邪薬<div class="hint">cold medicine</div>,かぜぐすり,cold medicine,この <ruby>風邪<rt>かぜ</rt></ruby> <ruby>薬<rt>ぐすり</rt></ruby>を <ruby>飲<rt>の</rt></ruby>みなさい。,Take this cold medicine.,noun
風呂<div class="hint">bath</div>,ふろ,bath,<ruby>父<rt>ちち</rt></ruby>は <ruby>今<rt>いま</rt></ruby>お <ruby>風呂<rt>ふろ</rt></ruby>に <ruby>入<rt>はい</rt></ruby>っています。,My father's taking a bath right now.,noun
じめじめ<div class="hint">damp</div>,じめじめ,damp,<ruby>梅雨<rt>つゆ</rt></ruby>どきはじめじめする。,It is damp in the rainy season.,adverb
枕<div class="hint">pillow</div>,まくら,pillow,<ruby>私<rt>わたし</rt></ruby>は <ruby>低<rt>ひく</rt></ruby>い <ruby>枕<rt>まくら</rt></ruby>が <ruby>好<rt>す</rt></ruby>きです。,I like thin pillows.,noun
傘<div class="hint">umbrella; parasol</div>,かさ,umbrella; parasol,<ruby>電車<rt>でんしゃ</rt></ruby>に <ruby>傘<rt>かさ</rt></ruby>を <ruby>忘<rt>わす</rt></ruby>れた。,I left my umbrella on the train.,noun
賑やか<div class="hint">lively; exciting</div>,にぎやか,lively; exciting,<ruby>浅草<rt>あさくさ</rt></ruby>は <ruby>賑<rt>にぎ</rt></ruby>やかな <ruby>街<rt>まち</rt></ruby>です。,Asakusa is a lively district.,adjectival noun
靴下<div class="hint">socks</div>,くつした,socks,この <ruby>靴下<rt>くつした</rt></ruby>は３ <ruby>足<rt>そく</rt></ruby>で１０００ <ruby>円<rt>えん</rt></ruby>です。,These socks are 1;000 yen for 3 pairs.,noun
瓶<div class="hint">bottle</div>,びん,bottle,<ruby>瓶<rt>びん</rt></ruby>ビールを <ruby>注文<rt>ちゅうもん</rt></ruby>した。,I ordered a bottle of beer.,noun
じろじろ<div class="hint">staringly</div>,じろじろ,staringly,<ruby>人<rt>ひと</rt></ruby>をじろじろ <ruby>見<rt>み</rt></ruby>るものではありません。,Do not stare at people.,adverb
頃<div class="hint">time</div>,ころ,time,<ruby>子供<rt>こども</rt></ruby>の <ruby>頃<rt>ころ</rt></ruby>、よくその <ruby>公園<rt>こうえん</rt></ruby>で <ruby>遊<rt>あそ</rt></ruby>んだ。,I often played in that park when I was a kid.,noun
消防署<div class="hint">fire station</div>,しょうぼうしょ,fire station,この <ruby>町<rt>まち</rt></ruby>には <ruby>消防署<rt>しょうぼうしょ</rt></ruby>が１つしかありません。,There's only one fire station in this town.,noun
尋ねる<div class="hint">inquire; ask</div>,たずねる,inquire; ask,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>道<rt>みち</rt></ruby>を <ruby>尋<rt>たず</rt></ruby>ねた。,She asked for directions.,verb
無駄<div class="hint">pointless; waste</div>,むだ,pointless; waste,それは <ruby>時間<rt>じかん</rt></ruby>の <ruby>無駄<rt>むだ</rt></ruby>です。,It's a waste of time.,adjectival noun
缶詰<div class="hint">canned food</div>,かんづめ,canned food,<ruby>缶詰<rt>かんづめ</rt></ruby>のフルーツはとても <ruby>甘<rt>あま</rt></ruby>い。,Canned fruit is very sweet.,noun
つるつる<div class="hint">smooth; slippery</div>,つるつる,smooth; slippery,<ruby>床<rt>ゆか</rt></ruby>がつるつるすべります。,The floor is slippery.,adverb
