人手,ひとで,staff; workforce,<ruby>人手<rt>ひとで</rt></ruby>が <ruby>足<rt>た</rt></ruby>りなくて <ruby>忙<rt>いそが</rt></ruby>しい。,We are short-handed and thus busy.,noun
スマート,すまーと,sophisticated; skillful,<ruby>彼<rt>かれ</rt></ruby>はいつもスマートに <ruby>行動<rt>こうどう</rt></ruby>するね。,He always acts sophisticatedly.,adjectival noun
喧嘩,けんか,fight; argument,<ruby>喧嘩<rt>けんか</rt></ruby>はやめて。,Stop fighting.,verbal noun
嬉しい,うれしい,happy; glad,<ruby>彼<rt>かれ</rt></ruby>に <ruby>会<rt>あ</rt></ruby>えて <ruby>嬉<rt>うれ</rt></ruby>しかった。,I was glad to meet him.,adjective
膝,ひざ,knee,スキーで <ruby>膝<rt>ひざ</rt></ruby>を <ruby>怪我<rt>けが</rt></ruby>しました。,I injured my knee while skiing.,noun
肘,ひじ,elbow,<ruby>彼<rt>かれ</rt></ruby>は <ruby>肘<rt>ひじ</rt></ruby>に <ruby>怪我<rt>けが</rt></ruby>をした。,He injured his elbow.,noun
椅子,いす,chair,そのお <ruby>年寄<rt>としよ</rt></ruby>りは <ruby>椅子<rt>いす</rt></ruby>に <ruby>座<rt>すわ</rt></ruby>った。,The old person sat on a chair.,noun
眉,まゆ,eyebrow,<ruby>彼<rt>かれ</rt></ruby>は <ruby>眉<rt>まゆ</rt></ruby>が <ruby>濃<rt>こ</rt></ruby>いね。,He has thick eyebrows.,noun
茶碗,ちゃわん,rice bowl,<ruby>茶碗<rt>ちゃわん</rt></ruby>にご <ruby>飯<rt>はん</rt></ruby>をよそいました。,I put some rice into the rice bowl.,noun
綺麗,きれい,pretty; clean,<ruby>彼女<rt>かのじょ</rt></ruby>はとても <ruby>綺麗<rt>きれい</rt></ruby>だ。,She's very pretty.,adjectival noun
コンクール,こんくーる,contest; competition (mainly in arts),<ruby>来年<rt>らいねん</rt></ruby>のコンクールに <ruby>出場<rt>しゅつじょう</rt></ruby>するつもりです。,I'm going to participate in next year's contest.,noun
醤油,しょうゆ,soy sauce,もう <ruby>少<rt>すこ</rt></ruby>し <ruby>醤油<rt>しょうゆ</rt></ruby>を <ruby>足<rt>た</rt></ruby>してください。,Please add a little more soy sauce.,noun
鞄,かばん,bag; handbag,その <ruby>黒<rt>くろ</rt></ruby>い <ruby>鞄<rt>かばん</rt></ruby>は <ruby>僕<rt>ぼく</rt></ruby>のです。,The black briefcase is mine.,noun
石鹸,せっけん,soap,<ruby>石鹸<rt>せっけん</rt></ruby>で <ruby>手<rt>て</rt></ruby>を <ruby>洗<rt>あら</rt></ruby>ってください。,Please wash your hands with soap.,noun
元旦,がんたん,New Year's Day,<ruby>元旦<rt>がんたん</rt></ruby>に <ruby>彼<rt>かれ</rt></ruby>から <ruby>年賀状<rt>ねんがじょう</rt></ruby>がきた。,I got a New Year's card from him on January 1.,noun
長袖,ながそで,long sleeves,<ruby>今日<rt>きょう</rt></ruby>は <ruby>寒<rt>さむ</rt></ruby>いので <ruby>長袖<rt>ながそで</rt></ruby>を <ruby>着<rt>き</rt></ruby>ました。,I put on a long-sleeved shirt because it's cold today.,noun
半袖,はんそで,short sleeves,<ruby>今日<rt>きょう</rt></ruby>は、 <ruby>半袖<rt>はんそで</rt></ruby>のシャツを <ruby>着<rt>き</rt></ruby>よう。,I'll put on a short-sleeved shirt today.,noun
袖,そで,sleeve,このシャツは <ruby>袖<rt>そで</rt></ruby>が <ruby>短<rt>みじか</rt></ruby>い。,This shirt has short sleeves.,noun
凄い,すごい,great; incredible,<ruby>凄<rt>すご</rt></ruby>い <ruby>雨<rt>あめ</rt></ruby>になった。,It began raining cats and dogs.,adjective
剃る,そる,shave,<ruby>父<rt>ちち</rt></ruby>は <ruby>毎日<rt>まいにち</rt></ruby> <ruby>髭<rt>ひげ</rt></ruby>を <ruby>剃<rt>そ</rt></ruby>ります。,My father shaves every day.,verb
めでたい,めでたい,happy; fortunate,それはめでたいことだ。,That's good news.,adjective
叩く,たたく,tap; hit,<ruby>彼<rt>かれ</rt></ruby>は <ruby>子供<rt>こども</rt></ruby>のおしりを <ruby>叩<rt>たた</rt></ruby>いた。,He slapped his child on his bottom.,verb
噛む,かむ,bite; chew,もっとよく <ruby>噛<rt>か</rt></ruby>みなさい。,You have to chew more.,verb
