仕組み<div class="hint">construction; mechanism</div>,しくみ,construction; mechanism,この <ruby>機械<rt>きかい</rt></ruby>の <ruby>仕組<rt>しく</rt></ruby>みは <ruby>複雑<rt>ふくざつ</rt></ruby>だ。,The mechanism of this machine is complex.,noun
カット<div class="hint">cut</div>,かっと,cut,<ruby>市長<rt>しちょう</rt></ruby>がテープをカットした。,The mayor cut the tape.,verbal noun
組み合わせる<div class="hint">join together; combine</div>,くみあわせる,join together; combine,いろいろな <ruby>花<rt>はな</rt></ruby>を <ruby>組<rt>く</rt></ruby>み <ruby>合<rt>あ</rt></ruby>わせ、 <ruby>花束<rt>はなたば</rt></ruby>を <ruby>作<rt>つく</rt></ruby>りました。,I put many kinds of flowers together and made a bouquet.,verb
組み込む<div class="hint">incorporate; introduce (something) into</div>,くみこむ,incorporate; introduce (something) into,キャンペーンに <ruby>新<rt>あたら</rt></ruby>しいイベントを <ruby>組<rt>く</rt></ruby>み <ruby>込<rt>こ</rt></ruby>みました。,We introduced a new event into the campaign.,verb
織物<div class="hint">textile; woven fabric</div>,おりもの,textile; woven fabric,その <ruby>町<rt>まち</rt></ruby>は <ruby>織物<rt>おりもの</rt></ruby> <ruby>業<rt>ぎょう</rt></ruby>で <ruby>有名<rt>ゆうめい</rt></ruby>です。,The town is famous for its textile industry.,noun
進行<div class="hint">advancement; progress</div>,しんこう,advancement; progress,<ruby>学会<rt>がっかい</rt></ruby>は <ruby>予定<rt>よてい</rt></ruby> <ruby>通<rt>どお</rt></ruby>りに <ruby>進行<rt>しんこう</rt></ruby>しています。,The academic conference is proceeding as scheduled.,verbal noun
進出<div class="hint">advancement; foray</div>,しんしゅつ,advancement; foray,<ruby>大手<rt>おおて</rt></ruby>チェーン <ruby>店<rt>てん</rt></ruby>が <ruby>進出<rt>しんしゅつ</rt></ruby>している。,The major chain store is expanding.,verbal noun
進路<div class="hint">route; path</div>,しんろ,route; path,<ruby>卒業<rt>そつぎょう</rt></ruby> <ruby>後<rt>ご</rt></ruby>の <ruby>進路<rt>しんろ</rt></ruby>を <ruby>迷<rt>まよ</rt></ruby>っています。,I'm having a hard time deciding what path I'll take after graduation.,noun
行進<div class="hint">march; parade</div>,こうしん,march; parade,<ruby>開会<rt>かいかい</rt></ruby> <ruby>式<rt>しき</rt></ruby>で <ruby>選手<rt>せんしゅ</rt></ruby>たちが <ruby>行進<rt>こうしん</rt></ruby>しました。,The athletes marched in the opening ceremony.,verbal noun
推進<div class="hint">promotion</div>,すいしん,promotion,その <ruby>会社<rt>かいしゃ</rt></ruby>はリサイクルを <ruby>推進<rt>すいしん</rt></ruby>してるね。,The company is promoting recycling.,verbal noun
ダウン<div class="hint">down; malfunction</div>,だうん,down; malfunction,サーバーがダウンしています。,The server is down.,verbal noun
主任<div class="hint">person in charge; chief</div>,しゅにん,person in charge; chief,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>会計<rt>かいけい</rt></ruby> <ruby>主任<rt>しゅにん</rt></ruby>です。,She's a chief accountant.,noun
担任<div class="hint">teacher in charge</div>,たんにん,teacher in charge,<ruby>私<rt>わたし</rt></ruby>は３ <ruby>年生<rt>ねんせい</rt></ruby>のクラスを <ruby>担任<rt>たんにん</rt></ruby>しています。,I'm in charge of the third-grade class.,verbal noun
辞任<div class="hint">resignation</div>,じにん,resignation,<ruby>社長<rt>しゃちょう</rt></ruby>の <ruby>辞任<rt>じにん</rt></ruby>が <ruby>決<rt>き</rt></ruby>まりました。,It's been decided that the president will resign.,verbal noun
