これ<div class="hint">this; this one</div>,これ,this; this one,これをください。,I'll have this please.,pronoun
それ<div class="hint">that; that one</div>,それ,that; that one,それはとってもいい <ruby>話<rt>はなし</rt></ruby>だ。,That's a really nice story.,pronoun
一<div class="hint">one</div>,いち,one,<ruby>一<rt>いち</rt></ruby>から <ruby>始<rt>はじ</rt></ruby>めましょう。,Let's start from scratch.,noun
二<div class="hint">two</div>,に,two,その <ruby>人<rt>ひと</rt></ruby>には <ruby>二<rt>に</rt></ruby> <ruby>回<rt>かい</rt></ruby> <ruby>会<rt>あ</rt></ruby>った。,I met that person twice.,noun
三<div class="hint">three</div>,さん,three,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>三<rt>さん</rt></ruby> <ruby>人<rt>にん</rt></ruby>の <ruby>子供<rt>こども</rt></ruby>の <ruby>母親<rt>ははおや</rt></ruby>だ。,She's a mother of three children.,noun
四<div class="hint">four (Chinese origin)</div>,し,four (Chinese origin),<ruby>四<rt>し</rt></ruby> <ruby>月<rt>がつ</rt></ruby>に <ruby>大学<rt>だいがく</rt></ruby>に <ruby>入学<rt>にゅうがく</rt></ruby>しました。,I entered college in April.,noun
四<div class="hint">four (Japanese origin)</div>,よん,four (Japanese origin),ハワイは <ruby>四<rt>よん</rt></ruby> <ruby>回<rt>かい</rt></ruby> <ruby>目<rt>め</rt></ruby>です。,This is my fourth trip to Hawaii.,noun
五<div class="hint">five</div>,ご,five,<ruby>五<rt>ご</rt></ruby> <ruby>人<rt>にん</rt></ruby>で <ruby>旅行<rt>りょこう</rt></ruby>に <ruby>行<rt>い</rt></ruby>きました。,Five of us went on a trip.,noun
六<div class="hint">six</div>,ろく,six,<ruby>彼<rt>かれ</rt></ruby>には <ruby>子供<rt>こども</rt></ruby>が <ruby>六<rt>ろく</rt></ruby> <ruby>人<rt>にん</rt></ruby>います。,He has six children.,noun
七<div class="hint">seven (Japanese origin)</div>,なな,seven (Japanese origin),バナナが <ruby>七<rt>なな</rt></ruby> <ruby>本<rt>ほん</rt></ruby>あります。,There are seven bananas.,noun
