まして,まして,much more,<ruby>他人<rt><span class="furigana">たにん</span></rt></ruby>でも <ruby>悲<rt><span class="furigana">かな</span></rt></ruby>しいのだから、まして <ruby>本人<rt><span class="furigana">ほんにん</span></rt></ruby>はどれほどでしょう。,Even total strangers are mourning; so imagine how the person in question must feel.
いかにも,いかにも,indeed; as if,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>はいかにもスポーツマンらしいですね。,He indeed looks like an athlete.
よほど,よほど,very; by far,<ruby>今日<rt><span class="furigana">きょう</span></rt></ruby>の <ruby>遠足<rt><span class="furigana">えんそく</span></rt></ruby>はよほど <ruby>楽<rt><span class="furigana">たの</span></rt></ruby>しかったらしい。,The field trip today must have been very fun.
きっちり,きっちり,exactly; precisely,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>はきっちり３ <ruby>時<rt><span class="furigana">じ</span></rt></ruby>に <ruby>来<rt><span class="furigana">き</span></rt></ruby>たわ。,She came precisely at three o'clock.
ろくに,ろくに,hardly; barely,ゆうべはろくに <ruby>寝<rt><span class="furigana">ね</span></rt></ruby>ていない。,I barely slept last night.
極めて,きわめて,extremely; very,これは <ruby>極<rt><span class="furigana">きわ</span></rt></ruby>めて <ruby>重要<rt><span class="furigana">じゅうよう</span></rt></ruby>な <ruby>問題<rt><span class="furigana">もんだい</span></rt></ruby>です。,This is an extremely important issue.
さぞ,さぞ,no doubt; must,それはさぞがっかりしたことでしょう。,That must have been disappointing.
大概,たいがい,mainly; mostly,<ruby>大概<rt><span class="furigana">たいがい</span></rt></ruby>、 <ruby>風邪<rt><span class="furigana">かぜ</span></rt></ruby>は <ruby>寝<rt><span class="furigana">ね</span></rt></ruby>ていれば <ruby>治<rt><span class="furigana">なお</span></rt></ruby>ります。,In many cases; cold symptoms subside if you stay in bed.
順々に,じゅんじゅんに,by turns; one at a time,<ruby>子供<rt><span class="furigana">こども</span></rt></ruby>たちは <ruby>順々<rt><span class="furigana">じゅんじゅん</span></rt></ruby>にお <ruby>菓子<rt><span class="furigana">かし</span></rt></ruby>を <ruby>受<rt><span class="furigana">う</span></rt></ruby>け <ruby>取<rt><span class="furigana">と</span></rt></ruby>ったよ。,Children received snacks one at a time.
かつて,かつて,once; at one time in the past,かつて <ruby>私<rt><span class="furigana">わたし</span></rt></ruby>が <ruby>学生<rt><span class="furigana">がくせい</span></rt></ruby>だった <ruby>頃<rt><span class="furigana">ころ</span></rt></ruby>のことです。,That's when I was still a student.
