啊,ā á ǎ à a,ah; (particle showing elation doubt puzzled surprise or approval),这里是哪里啊？,Zhèli shì nǎli a?,Where is this place?
还,huán,to return,我去图书馆还书。,Wǒ qù túshūguǎn huánshū.,I'm going to the library to return the books.
把,bǎ,grasp to hold handle m.(for things with handles),把美好的回忆留在心中。,Bǎ měihǎo de huíyì liú zài xīnzhōng.,Hold your beautiful memories in your heart.
过,guò,to pass to go by to exceed,他正在过马路。,Tā zhèngzài guò mǎlù.,He's crossing the road.
如果,rúguǒ,if; in the event that,如果我是超人就好了。,Rúguǒ wǒ shì chāorén jiù hǎo le.,It would be great if I were superhuman.
只,zhǐ,only; merely,这里只有大号的。,Zhèlǐ zhǐyǒu dà hào de.,We only have L size here.
被,bèi,by (indicates passive voice sentences); a quilt/blanket,他被打伤了。,Tā bèi dǎshāng le.,He was hit and injured.
跟,gēn,heel; follow; with; and,要是你不来，我就跟你分手。,Yàoshi nǐ bù lái wǒ jiù gēn nǐ fēnshǒu.,If you don't come I am going to break up with you.
自己,zìjǐ,oneself; self,儿子会自己洗衣服。,Érzi huì zìjǐ xǐ yīfu.,My son can do the laundry by himself.
用,yòng,to use (Kangxi radical 101),她用筷子吃寿司。,Tā yòng kuàizi chī shòusī.,She's eating her sushi with chopsticks.
像,xiàng,be like; resemble; appearance; appear,姐妹俩长得很像。,Jiěmèi liǎ zhǎng de hěn xiàng.,The sister look very much alike.
为,wèi,for; because of; to; for the sake of,他们设宴为我庆祝。,Tāmen shèyàn wèi wǒ qìngzhù.,They held a banquet to celebrate in my honor.
需要,xūyào,to need; to want; to demand,病人需要休息。,Bìngrén xūyào xiūxi.,Sick people need rest.
应该,yīnggāi,should; ought to; must,学生应该认真学习。,Xuésheng yīnggāi rènzhēn xuéxí.,Students should study diligently.
起来,qǐlái,to get up to rise to arise to start,国旗升起来了。,Guóqí shēng qǐlái le.,The national flag has been raised.
才,cái,ability; talent; just now; not until,他不过才十岁。,Tā búguò cái shí suì.,He is only ten years old.
又,yòu,again; both...and...,他又高又壮。,Tā yòu gāo yòu zhuàng.,He's tall and strong.
拿,ná,hold; take; seize; capture,他拿着武器。,Tā názhe wǔqì.,He's carrying a weapon.
更,gèng,more; even more,今天更冷了。,Jīntiān gèng lěng le.,It got much colder today.
带,dài,belt; zone; carry bring take,我想买一根皮带。,Wǒ xiǎng mǎi yī gēn pídài.,I want to buy a leather belt.
然后,ránhòu,then; afterwards,先洗手，然后吃饭。,Xiān xǐshǒu ránhòu chīfàn.,Wash your hands before you eat.
一样,yị̄yàng,the same; alike; equal to,这两姐妹长得一模一样。,Zhè liǎng jiěmèi zhǎng de yìmú yíyàng.,The two sisters look exactly the same.
当然,dāngrán,of course; naturally,当然可以！,Dāngrán kěyǐ!,Of course it's okay!
相信,xiāngxìn,believe (sb.); be convinced of,我有理由相信他会成功。,Wǒ yǒu lǐyóu xiāngxìn tā huì chénggōng.,I have reason to believe that he will succeed.
认为,rènwéi,believe; think that,你认为怎么样？,Nǐ rènwéi zěnmeyàng?,What do you think?
明白,míngbai,clear; obvious; understand; explicit,你明白了吗？,Nǐ míngbai le ma?,Do you understand?
一直,yī̠zhí,always; all along; straight (in a straight line),她一直等到中午。,Tā yīzhí děngdào zhōngwǔ.,She waited all the way till noon.
地,dì,earth; ground,地球在不断地演变。,Dìqiú zài bùduàn de yǎnbiàn.,The earth is constantly evolving.
地方,dìfang,place; space; room; part (fāng: local; regional),这个城市是我出生的地方。,Zhège chéngshì shì wǒ chūshēng de dìfang.,This city is where I was born.
离开,líkāi,leave; depart,他离开家去学校。,Tā líkāi jiā qù xuéxiào.,He left home and went to school.
一定,yị̄dìng,surely; certainly; necessarily; definite,这一定是他要的书。,Zhè yídìng shì tā yào de shū.,This is surely a book he needs.
还是,háishi,or; still; nevertheless; had better,你喝茶还是咖啡？,Nǐ hē chá háishi kāfēi?,Would you prefer tea or coffee?
发,fā,send out; to issue utter; express;&nbsp;emit,给 我 发 电邮。,Gěi wǒ fā diànyóu.,Send me an email.
发现,fāxiàn,discover; to find,有什么新发现？,Yǒu shénme xīn fāxiàn?,Has there been a new discovery?
而且,érqiě,moreover; in addition; as well as,他会讲中文，而且讲得很好。,Tā huì jiǎng zhōngwén érqiě jiǎng de hěn hǎo.,Not only can he speak Chinese but he speaks it very well.
必须,bìxū,must; have to,我们必须遵守法律。,Wǒmen bìxū zūnshǒu fǎlǜ.,We must obey the law.
放,fàng,put; to place; to release; to free,她把文件放在桌上。,Tā bǎ wénjiàn fàng zài zhuō shàng.,She puts the file on the desk.
为了,wèile,in order to; for the sake of; for the purpose of,她为了健康锻炼身体。,Tā wèile jiànkāng duànliàn shēntǐ.,She exercises for her health.
向,xiàng,direction; towards; to turn; to face,他们向树林走去。,Tāmen xiàng shùlín zǒuqù.,They're heading for the forest.
老,lǎo,old; aged; tough; often (Kangxi radical 125),他看起来很老。,Tā kàn qǐlai hěn lǎo.,He looks very old.
位,wèi,position; location; (polite mw for people),天安门广场位于北京市中心。,Tiān'ānmén Guǎngchǎng wèiyú Běijīng Shì zhōngxīn.,Tiananmen Square is in the center of Beijing.
先,xiān,first; early; before,小女孩先上车。,Xiǎo nǚhái xiān shàngchē.,The little girl gets on the bus first.
种,zhǒng,kind; seed,他们出售各种商品。,Tāmen chūshòu gè zhǒng shāngpǐn.,They sell all kinds of goods.
最后,zuìhòu,last; final; ultimately,比赛最后胜利了。,Bǐsài zuìhòu shènglì le.,In the end we won the game.
其他,qítā,other; else,还有其他事情吗？,Háiyǒu qítā shìqing ma?,Is there anything else?
记得,jìde,remember,我记得他的生日。,Wǒ jìde tā de shēngrì.,I remember his birthday.
或者,huòzhě,or; possible; maybe; perhaps,我喝果汁或者咖啡。,Wǒ hē guǒzhī huòzhě kāfēi.,I drink juice or coffee.
过去,guòqù,in the past; formerly,幸福的日子过去了。,Xìngfú de rìzi guòqù le.,The happy days are gone.
担心,dānxīn,to worry; feel anxious,别担心。,Bié dānxīn.,Don't worry!
条,tiáo,twig; strip; item;&nbsp;m. (for long narrow things),这条街道很安静。,Zhè tiáo jiēdào hěn ānjìng.,This is a very quiet street.
以前,yǐqián,before; formerly; previous,我7点以前下班。,Wǒ qī diǎn yǐqián xiàbān.,I get off work by 7:00 p.m.
长,zhǎng,grow; grow up; increase (Kangxi radical 168),我的儿子长高了。,Wǒ de érzi zhǎng gāo le.,My son has grown tall.
世界,shìjiè,world,这是世界地图。,Zhè shì shìjiè dìtú.,This is a map of the world.
重要,zhòngyào,important; significant; major,考试成绩很重要。,Kǎoshì chéngjì hěn zhòngyào.,Test results are very important.
别人,biéren,others; other people; another person,他喜欢帮助别人。,Tā xǐhuan bāngzhù biérén.,He likes helping others.
