的,de,indicates possession,我是他的朋友。,Wǒ shì tā de péngyou.,I'm a friend of his.
我,wǒ,I; me,我有一百块钱。,Wǒ yǒu yībǎi kuài qián.,I've got one hundred RMB.
你,nǐ,you (singular),谢谢你。,Xièxie nǐ.,Thank you.
是,shì,be; is; are; am,这是我家。,Zhè shì wǒ jiā.,This is my house.
了,le,indicates a completed or finished action,我去公园了。,Wǒ qù gōngyuán le.,I went to the park.
不,bù,no; not,请不要大声叫喊。,Qǐng búyào dà shēng jiàohǎn.,Please don't shout.
在,zài,at; on; in; indicates an action in progress,他一个人在公司。,Tā yí gè rén zài gōngsī.,He's at the company by himself.
他,tā,he; him,他走路上班。,Tā zǒulù shàngbān.,He commutes to work on foot.
我们,wǒmen,we; us,我们在打包东西。,Wǒmen zài dǎbāo dōngxi.,We're packing our stuff.
好,hǎo,good,你好！,Nǐ hǎo!,Hello!
有,yǒu,have,我有一本书。,Wǒ yǒu yì běn shū.,I have a book.
这,zhè,this,这是男厕所。,Zhè shì nán cèsuǒ.,This is the men's toilet.
会,huì,meet; can,你会说汉语吗？,Nǐ huì shuō Hànyǔ ma?,Can you speak Chinese?
吗,ma,indicates a yes/no question (added to a statement),她在吃饭吗？,Tā zài chīfàn ma?,Is she eating now?
什么,shénme,what? (replaces the noun to turn a statement into a question),那是什么东西？,Nà shì shénme dōngxi?,What's that?
说,shuō,speak,请你再说一遍。,Qǐng nǐ zài shuō yí biàn.,Can you please say it again.
她,tā,she,她是我的女儿。,Tā shì wǒ de nǚ'ér.,She's my daughter.
想,xiǎng,think; believe; suppose; would like to,你在想什么？,Nǐ zài xiǎng shénme?,What are you thinking about?
一,yī,one; once; a,我有一本书。,Wǒ yǒu yì běn shū.,I have a book.
很,hěn,very; quite,你做得很好。,Nǐ zuò de hěn hǎo.,You've done great.
人,rén,person; man; people,公园里有很多人。,Gōngyuán li yǒu hěn duō rén.,There are many people in the park.
那,nà,that; then,那个小孩好可爱。,Nàge xiǎohái hǎo kě'ài.,That child is really cute.
来,lái,come; arrive; ever since; next,我从美国来。,Wǒ cóng Měiguó lái.,I'm from America.
都,dōu,all; both,我们全家都喜欢看书。,Wǒmen quán jiā dōu xǐhuan kànshū.,Everyone in my family likes to read.
个,ge,general measure word,我认识那个人。,Wǒ rènshi nàge rén.,I know that person.
能,néng,can; be able,你能说汉语吗？,Nǐ néng shuō Hànyǔ ma?,Can you speak Chinese?
去,qù,go; to leave,我去公园了。,Wǒ qù gōngyuán le.,I went to the park.
和,hé,and; with,我和妈妈去超市。,Wǒ hé māma qù chāoshì.,My mom and I are going to the supermarket.
做,zuò,do; make,你做得很好。,Nǐ zuò de hěn hǎo.,You've done great.
上,shàng,above; up,桌子上有一杯咖啡。,Zhuōzi shàng yǒu yī bēi kāfēi.,There is a cup of coffee on the table.
没有,méiyǒu,not have; there is not,没有车，他只好走路。,Méiyǒu chē,Without a car
看,kàn,see; look at; to watch,我们去海边看日出。,Wǒmen qù hǎibiān kàn rìchū.,We went to the beach to see the sunrise.
怎么,zěnme,how?;&nbsp;what,她怎么了？,Tā zěnme le?,What happened to her?
现在,xiànzài,now,现在几点钟？,Xiànzài jǐ diǎn zhōng?,What time is it now?
点,diǎn,a dot; a little; o'clock,已经五点了。,Yǐjing wǔ diǎn le.,It's already five o'clock.
呢,ne,indicates a question; how about...?; indicating continued state or action,两岸是否会统一呢？,Liǎng'Àn shìfǒu huì tǒngyī ne?,Will the mainland and Taiwan be reunified?
太,tài,too (much),今天太热了！,Jīntiān tài rè le!,It's so hot today!
里,lǐ,inside; Chinese mile (~.5 km),他们在图书馆里学习。,Tāmen zài túshūguǎn lǐ xuéxí.,They're studying in the library.
听,tīng,listen; hear,她在听音乐。,Tā zài tīng yīnyuè.,She's listening to music.
谁,shéi,who,是谁发现了万有引力？,Shì shéi fāxiànle wànyǒu yǐnlì?,Who discovered universal gravitation?
多,duō,many,公园里有很多人。,Gōngyuán li yǒu hěn duō rén.,There are many people in the park.
时候,shíhou,time,这时候天黑了。,Zhè shíhou tiān hēi le.,The sun went down at this time.
下,xià,fall; below,水往下流。,Shuǐ wǎng xià liú.,The water is flowing down.
谢谢,xièxie,thank you,谢谢您。,Xièxie nín.,Thank you!
先生,xiānsheng,Mr.; Sir,我认识那位先生。,Wǒ rènshi nà wèi xiānsheng.,I know that gentleman over there.
喜欢,xǐhuan,to like,他喜欢看书。,Tā xǐhuan kànshū.,He likes to read.
大,dà,big; large,这座城市很大。,Zhè zuò chéngshì hěn dà.,This is a huge city.
东西,dōngxi,things; stuff,那是什么东西？,Nà shì shénme dōngxi?,What's that?
小,xiǎo,small; young,小女孩先上车。,Xiǎo nǚhái xiān shàngchē.,The little girl gets on the bus first.
叫,jiào,to be called,你叫什么名字？,Nǐ jiào shénme míngzi?,What's your name?
爱,ài,love,我爱我的母亲。,Wǒ ài wǒ de mǔqin.,I love my mother.
年,nián,year,新年快乐！,Xīnnián kuàilè!,Happy New Year!
请,qǐng,please; invite; to treat someone to something,请给我一杯酒。,Qǐng gěi wǒ yī bēi jiǔ.,Please give me a glass of wine.
