哦,ò ó é,oh (indicates understanding); oh (indicates doubt); to chant,哦！太好了！,Ò! Tài hǎole!,Wow that's great!
嘿,hēi,hey; interjection for calling attention,,,
嗨,hāi,hey/hi (loanword); oh; alas;,,,
嘛,ma,(used to persuade somebody to do something); (particle indicating obviousness),别生气嘛。,Bié shēngqì ma.,Come on don't get angry.
家伙,jiāhuo,guy; chap; tool; weapon,,,
啦,la lā lá,sentence-final particle: a contraction of 了 (le) and 啊 (a); (onomatopoeia),我们终于来到巴黎啦。,Wǒmen zhōngyú láidào Bālí la.,We have finally arrived in Paris.
喂,wèi,feed,农夫在给牛喂食。,Nóngfū zài gěi niú wèishí.,The farmer is feeding the cows.
哇,wā,wow; (sound of crying or vomiting),哇，好恐怖呀！,Wā hǎo kǒngbù ya!,Wow how horrible!
拜托,bàituō,ask a favor; request; please!,,,
而已,éryǐ,that's all; nothing more,,,
夫人,fūren,lady; madam; Mrs.; wife,,,
尸体,shītǐ,dead body; corpse; carcass,这里有一具动物的尸体。,Zhèli yǒu yī jù dòngwù de shītǐ.,There‘s the carcass of an animal here.
现场,xiànchǎng,scene (of event or incident); on the spot,现场的营救工作很困难。,Xiànchǎng de yíngjiù gōngzuò hěn kùnnan.,On-the-scene rescue work is very difficult.
监狱,jiānyù,prison; jail,罪犯被关进了监狱。,Zuìfàn bèi guānjìnle jiānyù.,The criminal has been put in prison.
啥,shá,(spoken) what,,,
死亡,sǐwáng,to die; death; be dead,这里埋着死亡的人。,Zhèli máizhe sǐwáng de rén.,The dead are buried here.
拥有,yōngyǒu,have; possess,他拥有公司的很多股份。,Tā yōngyǒu gōngsī de hěn duō gǔfèn.,He owns a lot of stock in the company.
凶手,xiōngshǒu,murderer; assassin; assailant,,,
屁股,pìgu,butt; rear; rump,,,
选手,xuǎnshǒu,athlete; contestant; player,6号超过了所有的选手。,Liù hào chāoguòle suǒyǒude xuǎnshǒu.,No. 6 has taken the lead over all the other contestants.
投票,tóupiào,vote; poll,他在投票。,Tā zài tóupiào.,He's casting a ballot.
撒谎,sā huǎng,to tell lies,他在撒谎。,Tā zài sāhuǎng.,He's lying.
武器,wǔqì,weapon; arms,他拿着武器。,Tā názhe wǔqì.,He's carrying a weapon.
发誓,fāshì,to vow; to pledge; swear,他举手发誓。,Tā jǔshǒu fāshì.,He raised his hand and took an oath.
心眼儿,xīnyǎnr,one's thoughts; mind; intention; willingness to accept new ideas,,,
意识,yìshi,realize; consciousness; awareness; sense,病人的意识还没有清醒。,Bìngrén de yìshi hái méiyǒu qīngxǐng.,The patient hasn't regained consciousness yet.
线索,xiànsuǒ,trail; clues; hints; thread (of a story),,,
砸,zá,to smash; to pound; to break; fail,她想把电脑给砸了。,Tā xiǎng bǎ diànnǎo gěi zá le.,She'd like to smash her computer.
失踪,shī zōng,be missing; be unaccounted for,,,
真相,zhēnxiàng,the actual facts; reality,,,
恐怖,kǒngbù,afraid; terror,哇，好恐怖呀！,Wā hǎo kǒngbù ya!,Wow how horrible!
性感,xìnggǎn,sex appeal; sexy; sexuality,,,
意味着,yìwèizhe,signify; to mean; imply,,,
交易,jiāoyì,business transaction; deal; trade,这是一家股票交易所。,Zhè shì yī jiā gǔpiào jiāoyìsuǒ.,This is a stock exchange.
